"","KEW_FAMILY_EXT","QUERY","KEW_GENUS_EXT"
"449","Acanthaceae","Salpinxantha","Salpixantha"
"450","Acanthaceae","Salpixantha","Salpixantha"
"451","Acanthaceae","Salviacanthus","Justicia"
"452","Acanthaceae","Samuelssonia","Samuelssonia"
"453","Acanthaceae","Sanchezia","Sanchezia"
"454","Acanthaceae","Santapaua","Hygrophila"
"455","Acanthaceae","Sapphoa","Sapphoa"
"456","Acanthaceae","Sarojusticia","Justicia"
"457","Acanthaceae","Sarotheca","Justicia"
"458","Acanthaceae","Satanocrater","Satanocrater"
"459","Acanthaceae","Sautiera","Sautiera"
"460","Acanthaceae","Schawbea","Schawbea"
"461","Acanthaceae","Schliebenia","Isoglossa"
"462","Acanthaceae","Schwabea","Monechma"
"463","Acanthaceae","Sciaphyllum","Sciaphyllum"
"464","Acanthaceae","Sclerocalyx","Ruellia"
"465","Acanthaceae","Sclerochiton","Sclerochiton"
"466","Acanthaceae","Scorodoxylum","Scorodoxylum"
"467","Acanthaceae","Scytanthus","Thomandersia"
"468","Acanthaceae","Sebastiano-Schaueria","Sebastiano-Schaueria"
"469","Acanthaceae","Sebschauera","Sebschauera"
"470","Acanthaceae","Semnostachya","Strobilanthes"
"471","Acanthaceae","Semnothyrsus","Strobilanthes"
"472","Acanthaceae","Senkebergia","Senkebergia"
"473","Acanthaceae","Sericobonia","Sericobonia"
"474","Acanthaceae","Sericocalyx","Strobilanthes"
"475","Acanthaceae","Sericographis","Justicia"
"476","Acanthaceae","Sericospora","Sericospora"
"477","Acanthaceae","Simonisia","Justicia"
"478","Acanthaceae","Sinthroblastes","Strobilanthes"
"479","Acanthaceae","Siphonacanthus","Siphonacanthus"
"480","Acanthaceae","Siphoneranthemum","Siphoneranthemum"
"481","Acanthaceae","Siphonoglossa","Siphonoglossa"
"482","Acanthaceae","Solaenacanthus","Solaenacanthus"
"483","Acanthaceae","Solenochasma","Justicia"
"484","Acanthaceae","Solenoruellia","Henrya"
"485","Acanthaceae","Solenostyles","Solenostyles"
"486","Acanthaceae","Sooia","Epiclastopelma"
"487","Acanthaceae","Spathacanthus","Spathacanthus"
"488","Acanthaceae","Sphacanthus","Sphacanthus"
"489","Acanthaceae","Sphinctacanthus","Sphinctacanthus"
"490","Acanthaceae","Spirostigma","Spirostigma"
"491","Acanthaceae","Sreemadhavana","Aphelandra"
"492","Acanthaceae","Stachyacanthus","Stachyacanthus"
"493","Acanthaceae","Standleyacanthus","Standleyacanthus"
"494","Acanthaceae","Staurogyne","Staurogyne"
"495","Acanthaceae","Staurogynopsis","Staurogyne"
"496","Acanthaceae","Steirosanchezia","Sanchezia"
"497","Acanthaceae","Stemonacanthus","Stemonacanthus"
"498","Acanthaceae","Stenandriopsis","Stenandriopsis"
"499","Acanthaceae","Stenandrium","Stenandrium"
"500","Acanthaceae","Stenoschista","Ruellia"
"501","Acanthaceae","Stenosiphonium","Stenosiphonium"
"502","Acanthaceae","Stenostephanus","Stenostephanus"
"503","Acanthaceae","Stenothyrsus","Stenothyrsus"
"504","Acanthaceae","Stephanophysum","Ruellia"
"505","Acanthaceae","Stethoma","Justicia"
"506","Acanthaceae","Streblacanthus","Streblacanthus"
"507","Acanthaceae","Streptosiphon","Streptosiphon"
"508","Acanthaceae","Strobilacanthus","Strobilacanthus"
"509","Acanthaceae","Strobilanthes","Strobilanthes"
"510","Acanthaceae","Strobilanthopsis","Strobilanthopsis"
"511","Acanthaceae","Strobilanthus","Strobilanthus"
"512","Acanthaceae","Strobilorhachis","Aphelandra"
"513","Acanthaceae","Strophacanthus","Isoglossa"
"514","Acanthaceae","Styasasia","Styasasia"
"515","Acanthaceae","Stylarthropus","Whitfieldia"
"516","Acanthaceae","Suessenguthia","Suessenguthia"
"517","Acanthaceae","Sympagis","Strobilanthes"
"518","Acanthaceae","Symplectochilus","Anisotes"
"519","Acanthaceae","Synchoriste","Lasiocladus"
"520","Acanthaceae","Synnema","Hygrophila"
